gender,height,weight,wingspan,experience,boulder_max,boulder_recent,boulder_90,route_max,route_recent,route_90,freq_climb,hrs_climb,hrs_train,freq_hang,weight_hang_half,weight_hang_open,mm_hang_half,mm_hang_open,campus_freq,campus_dur,end_freq,cross_freq,hrs_cross,pull_rep,pull_weight,push_rep,lsit_time,back_2,back_3,front_2,front_3,full_crimp,half_crimp,middle_2,monos,open_crimp,pinch,slopers,hangboard,no_hangs,max_weight,min_edge,one_arm_hang_program,other_protocol,repeaters,hangboard_2,4x4,arc,feet_on_campusing,laps_of_routes,max_moves,hangboard_repeater_protocols,other,route_climbing_intervals,systems_boards,threshold_intervals,endurance,antagonists,core,legs,upper_body_pulling,upper_body_pushing,strength,indoor,outdoor,act_count,running,yoga,biking,cardio,hiking,other_cross
0,167.0,60.0,179.0,3,9.0,9.0,4.0,22,20,16,3,6,3,3,30.0,0.0,8.0,0.0,0,0,0,2,2,13.0,35.0,22.0,0.0,0,0,0,0,0,1,0,0,0,0,0,True,0,1,0,0,0,1,True,0,0,0,0,0,1,0,0,0,0,True,0,1,0,1,1,True,0,1,0,0,0,0,0,0,0
0,173.0,86.0,173.0,1,6.0,4.0,4.0,23,22,22,3,4,4,2,30.0,35.0,16.0,14.0,2,2,2,4,8,32.0,65.0,286.0,26.0,0,1,1,1,1,1,1,0,1,1,1,True,0,0,1,0,0,1,True,1,1,0,1,1,0,0,0,0,0,True,1,1,1,1,1,True,0,1,1,0,1,0,0,0,0
0,170.0,64.0,165.0,5,6.0,6.0,5.0,25,25,23,1,3,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0,16.0,0.0,115.0,30.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,1,1,0,0,0,0,0,1
0,182.0,76.0,180.0,4,6.0,6.0,4.0,26,24,20,1,3,3,1,0.0,0.0,0.0,0.0,0,0,0,1,2,10.0,0.0,20.0,30.0,0,0,0,1,0,1,1,0,1,0,1,True,0,0,0,0,0,1,True,0,0,0,0,0,0,0,0,0,0,False,1,1,0,0,1,True,1,0,0,0,0,0,0,0,0
0,178.0,70.0,178.0,0,4.0,4.0,2.0,17,17,17,3,5,3,0,0.0,0.0,0.0,0.0,0,0,0,3,3,18.0,50.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,1,1,1,1,True,1,0,0,0,0,0,0,0,0
0,183.0,80.0,187.0,1,4.0,4.0,3.0,20,20,20,3,6,0,0,0.0,0.0,0.0,0.0,0,0,0,2,4,10.0,0.0,50.0,20.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,1,True,0,1,0,0,0,0,0,0,0
0,175.0,85.0,180.0,3,8.0,7.0,5.0,25,22,21,4,8,3,2,0.0,0.0,0.0,0.0,1,1,2,3,4,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,True,0,0,0,0,0,1,True,1,0,0,0,0,1,0,0,0,0,True,1,1,1,0,1,True,0,1,1,1,0,0,0,0,0
0,62.0,172.0,184.0,8,11.0,10.0,8.0,29,26,28,3,7,5,3,50.0,55.0,5.0,0.0,2,1,0,3,2,13.0,0.0,20.0,20.0,0,0,0,0,1,1,0,0,0,0,0,True,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,1,True,0,1,0,0,0,0,0,0,0
0,193.0,79.0,193.0,2,8.0,8.0,5.0,25,25,24,3,7,6,3,0.0,0.0,0.0,0.0,0,0,0,3,6,20.0,0.0,30.0,20.0,0,0,0,0,0,1,0,0,0,0,0,True,0,0,0,0,0,1,True,0,0,0,0,0,0,0,0,0,0,False,1,1,0,0,1,True,0,1,0,0,0,0,0,0,0
0,174.0,65.0,176.0,1,5.0,5.0,3.0,22,22,20,3,8,1,0,0.0,0.0,0.0,0.0,0,0,0,1,1,15.0,0.0,40.0,1.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,1,True,0,1,1,0,0,1,0,0,0
0,186.0,72.0,190.0,2,8.0,8.0,5.0,27,27,24,4,8,8,3,38.0,0.0,0.0,0.0,0,0,3,3,6,20.0,30.0,15.0,0.0,0,0,0,0,0,1,0,0,0,0,0,True,0,1,1,0,0,0,True,0,1,0,0,0,0,0,0,0,0,True,1,1,0,1,1,True,0,1,0,0,0,0,0,0,0
1,172.0,79.0,85.0,2,3.0,3.0,2.0,22,22,21,4,10,2,0,0.0,0.0,0.0,0.0,1,1,1,2,3,1.0,0.0,10.0,4.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,1,1,0,0,0,0,0,0,True,0,1,1,1,1,True,0,1,2,1,1,0,0,0,0
0,182.0,79.0,184.0,2,6.0,5.0,4.0,22,22,20,3,10,1,0,5.0,2.0,0.0,0.0,0,0,0,3,7,12.0,15.0,50.0,25.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,1,1,True,1,1,0,1,1,True,0,1,1,1,0,0,0,0,0
0,178.0,74.0,170.0,5,5.0,5.0,4.0,21,21,19,4,10,0,0,0.0,0.0,0.0,0.0,0,0,1,3,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,1,0,0,0,0,0,0,True,1,1,0,0,0,True,1,0,0,0,0,0,0,0,0
1,168.0,69.0,165.0,4,6.0,5.0,4.0,25,22,20,4,8,1,0,0.0,0.0,0.0,0.0,0,0,1,1,2,6.0,0.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,1,0,1,0,0,0,0,0,0,True,1,1,0,0,1,True,0,1,2,0,1,0,1,0,0
0,185.0,79.0,185.0,2,6.0,6.0,5.0,27,26,23,5,12,2,2,0.0,80.0,0.0,9.0,1,1,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,True,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0,0,0,False,1,1,0,0,0,True,0,1,0,0,0,0,0,0,0
0,176.0,63.0,175.0,2,9.0,9.0,7.0,29,28,27,3,8,4,3,0.0,0.0,6.0,0.0,0,0,0,4,4,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,True,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,False,0,1,0,1,1,True,1,0,2,1,1,0,0,0,0
1,165.0,56.0,165.0,3,6.0,6.0,4.0,23,22,20,3,9,2,1,0.0,0.0,0.0,0.0,1,1,0,2,4,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1,1,1,True,0,0,0,0,0,1,True,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,1,True,0,1,0,0,0,0,0,0,0
0,178.0,72.0,180.0,10,9.0,8.0,6.0,29,26,26,4,7,6,3,13.0,32.0,8.0,9.0,0,0,1,2,1,18.0,32.0,0.0,60.0,0,0,0,1,0,1,0,0,1,0,0,True,0,1,0,0,0,0,True,1,0,0,0,0,0,0,0,0,0,True,1,0,1,1,1,True,0,1,0,0,0,0,0,0,0
0,185.0,73.0,187.0,6,11.0,10.0,9.0,32,32,30,5,10,6,2,53.0,0.0,0.0,0.0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,True,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0,0,1,True,1,1,0,0,0,True,0,1,0,0,0,0,0,0,0
0,182.0,76.0,189.0,15,8.0,6.0,4.0,29,26,24,2,4,8,3,38.0,50.0,13.0,13.0,1,1,1,1,1,12.0,10.0,20.0,8.0,0,0,1,0,1,1,1,0,1,1,1,True,0,1,0,0,1,1,True,0,1,0,0,0,1,0,1,0,0,True,1,1,0,1,1,True,0,1,1,0,0,0,0,0,1
0,178.0,72.0,178.0,1,8.0,6.0,5.0,24,24,21,3,10,3,1,0.0,0.0,0.0,0.0,0,0,1,3,2,10.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,True,0,0,1,0,0,0,True,1,0,0,1,1,0,0,0,0,0,True,1,1,1,1,1,True,0,1,1,0,1,0,0,0,0
0,180.0,86.0,177.0,5,7.0,7.0,5.0,32,32,27,3,9,2,1,0.0,0.0,0.0,0.0,1,1,1,0,0,45.0,0.0,112.0,24.0,1,1,1,1,1,1,1,0,1,1,1,True,0,0,0,0,0,1,True,1,0,1,1,1,1,0,1,0,0,True,0,0,0,0,0,False,0,1,2,0,0,1,0,1,0
0,174.0,75.0,180.0,11,6.0,6.0,4.0,28,26,25,3,8,0,2,0.0,0.0,0.0,0.0,0,0,1,0,0,20.0,20.0,25.0,0.0,0,0,0,0,0,0,0,0,1,0,0,True,0,0,0,0,0,1,True,0,0,0,0,0,1,0,0,0,0,True,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0
